Operator Code,Operator Name,Telephony Name,Country Name,Country Code,Last Modified,AIRAC
...,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION  (WASHINGTON, DC)",NASA,UNITED STATES,USA,07-Sep-1989,05-09-2024
...,DEPARTMENT OF ENERGY,ENERGY,UNITED STATES,USA,04-Jul-2007,05-09-2024
...,FEDERAL EMERGENCY MANAGEMENT AGENCY,FEMA,UNITED STATES,USA,04-Jul-2007,05-09-2024
ABU,"EAGLE AVIATION SERVICES, INC. (FT. WORTH, TX)",-,UNITED STATES,USA,19-Sep-2007,05-09-2024
ABX,"ABX AIR, INC. (WILMINGTON, OH)",ABEX,UNITED STATES,USA,04-Jul-2011,05-09-2024
ACD,"ACADEMY AIRLINES (GRIFFIN, GA)",ACADEMY,UNITED STATES,USA,07-Sep-1989,05-09-2024
ACE,AVIATION ACES,SKY ACE,UNITED STATES,USA,09-May-2019,05-09-2024
ACK,"NANTUCKET AIRLINES (NANTUCKET, MA)",ACK AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
ACO,"AIR CHOICE ONE (ST. LOUIS, MO)",WEBER,UNITED STATES,USA,04-Feb-2019,05-09-2024
ACT,"FLIGHT LINE, INC. (DENVER, CO)",AMERICAN CHECK,UNITED STATES,USA,19-Dec-1990,05-09-2024
AFV,AVFINITY,+,UNITED STATES,USA,07-Jan-2015,05-09-2024
AGM,"AVIATION WEST CHARTERS (SCOTTSDALE, AZ)",ANGEL MED,UNITED STATES,USA,12-Jan-2015,05-09-2024
AHF,"ASPEN HELICOPTERS, INC. (OXNARD, CA)",ASPEN,UNITED STATES,USA,28-Jul-1998,05-09-2024
AMF,"AMERIFLIGHT, INC. (BURBANK, CA)",AMFLIGHT,UNITED STATES,USA,07-Sep-1989,05-09-2024
AMI,"AIR AMERICA, INC. (CAROLINA, PR)",AIRMEK,UNITED STATES,USA,09-Jan-2012,05-09-2024
AMR,"AIR SPECIALTIES CORPORATION D/B/A/ AIR  AMERICA/TOTAL AIR (LOS ANGELES, CA)",AIR AM,UNITED STATES,USA,07-Sep-1989,05-09-2024
ASQ,EXPRESSJET AIRLINES,ACEY,UNITED STATES,USA,16-Aug-2018,05-09-2024
ASZ,"ASCENSION AIR MANAGEMENT, INC. (ATLANTA, GA)",ASCENSION,UNITED STATES,USA,20-Apr-2012,05-09-2024
ATA,"AIR TRANSPORT ASSOCIATION OF AMERICA (WASHINGTON, DC)",-,UNITED STATES,USA,02-Oct-1992,05-09-2024
ATN,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)",AIR TRANSPORT,UNITED STATES,USA,11-Sep-2002,05-09-2024
AUD,"TRANS NORTHERN AIRWAYS, LLC",GENIE,UNITED STATES,USA,20-Mar-2018,05-09-2024
AXQ,ACTION AIRLINES (ACTION AIR CHARTER),ACTION AIR,UNITED STATES,USA,07-Sep-1989,05-09-2024
AXR,ARCHER AIR LLC,+,UNITED STATES,USA,31-Oct-2023,05-09-2024
AYA,"FEDERAL AVIATION ADMINISTRATION (FAA) ACADEMY  (OKLAHOMA CITY, OK)",ACADEMY AIR,UNITED STATES,USA,08-Jul-1992,05-09-2024
